motif_id	status	n_profiles	n_plots	error_hint
AC0583	FAILED	2	0	slurmstepd: error: *** JOB 28948685 ON compute-a-16-133 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0584	OK	8	8	
AC0585	OK	8	8	
AC0586	OK	8	8	
AC0587	OK	8	8	
AC0588	OK	8	8	
AC0589	OK	8	8	
AC0590	OK	8	8	
AC0591	OK	8	8	
AC0592	OK	8	8	
AC0593	OK	8	8	
AC0594	OK	8	8	
AC0595	OK	8	8	
AC0596	OK	8	8	
AC0597	OK	8	8	
AC0598	OK	8	8	
AC0599	OK	8	8	
AC0600	OK	8	8	
AC0601	FAILED	4	0	slurmstepd: error: *** JOB 28948703 ON compute-a-16-171 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0602	FAILED	7	0	slurmstepd: error: *** JOB 28948704 ON compute-a-16-171 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0603	OK	8	8	
AC0604	OK	8	8	
AC0605	OK	8	8	
AC0606	FAILED	7	0	slurmstepd: error: *** JOB 28948708 ON compute-a-16-171 CANCELLED AT 2026-02-13T11:51:33 DUE TO TIME LIMIT *** 
AC0607	OK	8	8	
AC0608	OK	8	8	
AC0609	OK	8	8	
AC0610	OK	8	8	
AC0611	OK	8	8	
AC0612	OK	8	8	
AC0613	OK	8	8	
AC0614	OK	8	8	
AC0615	OK	8	8	
AC0616	OK	8	8	
AC0617	OK	8	8	
AC0618	FAILED	7	0	slurmstepd: error: *** JOB 28948890 ON compute-b-16-189 CANCELLED AT 2026-02-13T11:53:06 DUE TO TIME LIMIT *** 
AC0619	OK	8	8	
AC0620	OK	8	8	
AC0621	OK	8	8	
AC0622	OK	8	8	
AC0623	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0624	OK	8	8	
AC0625	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0626	PARTIAL	4	4	some presets skipped (low n)
AC0627	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0628	OK	8	8	
AC0629	OK	8	8	
AC0630	OK	8	8	
AC0631	OK	8	8	
AC0632	OK	8	8	
AC0633	OK	8	8	
AC0634	OK	8	8	
AC0635	PARTIAL	4	4	some presets skipped (low n)
AC0636	OK	8	8	
AC0637	OK	8	8	
AC0638	OK	8	8	
AC0639	OK	8	8	
AC0640	OK	8	8	
AC0641	OK	8	8	
AC0642	OK	8	8	
AC0643	OK	8	8	
AC0644	OK	8	8	
AC0645	OK	8	8	
AC0646	OK	8	8	
AC0647	OK	8	8	
AC0648	OK	8	8	
AC0649	OK	8	8	
AC0650	PARTIAL	4	4	some presets skipped (low n)
AC0651	OK	8	8	
AC0652	OK	8	8	
AC0653	OK	8	8	
AC0654	OK	8	8	
AC0655	OK	8	8	
AC0656	OK	8	8	
AC0657	OK	8	8	
AC0658	OK	8	8	
AC0659	OK	8	8	
AC0660	PARTIAL	4	4	some presets skipped (low n)
AC0661	PARTIAL	4	4	some presets skipped (low n)
AC0662	OK	8	8	
AC0663	OK	8	8	
AC0664	OK	8	8	
AC0665	OK	8	8	
AC0666	OK	8	8	
AC0667	FAILED_EMPTY	0	0	/var/spool/slurmd/job28948939/slurm_script: line 65: 1061737 Killed                  Rscript "${SCRIPT_DIR}/run_motif.R" --motif_id "${MOTIF_ID}" --config "${SCRIPT_DIR}/config.R" ${EXTRA_ARGS} slurms
AC0668	OK	8	8	
AC0669	OK	8	8	
AC0670	OK	8	8	
AC0671	OK	8	8	
AC0672	OK	8	8	
AC0673	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0674	OK	8	8	
AC0675	OK	8	8	
AC0676	OK	8	8	
AC0677	OK	8	8	
AC0678	OK	8	8	
AC0679	OK	8	8	
AC0680	OK	8	8	
AC0681	OK	8	8	
AC0682	OK	8	8	
AC0683	OK	8	8	
AC0684	OK	8	8	
AC0685	OK	8	8	
AC0686	OK	8	8	
AC0687	OK	8	8	
AC0688	OK	8	8	
AC0689	OK	8	8	
AC0690	FAILED	3	0	slurmstepd: error: *** JOB 28949021 ON compute-a-16-46 CANCELLED AT 2026-02-13T11:54:36 DUE TO TIME LIMIT *** 
AC0691	OK	8	8	
AC0692	OK	8	8	
AC0693	OK	8	8	
